P01-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P01-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P01-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P01-05;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
P01-05-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P01-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P01-07;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P01-08;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P02-01;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
P02-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P02-03;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P02-04-S1;Wintershall;Boorgatstatus;Closed-in;Suspended
P02-05;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P02-06;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P02-07;Wintershall;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
P02-07-S1;Wintershall;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
P02-09;Wintershall Noordzee BV;Boorgatstatus;Plugged and abandoned;Abandoned
P02-10;Chevron;Boorgatstatus;-;Abandoned
P02-10-S1;Chevron;Boorgatstatus;-;Abandoned
P02-NE-02-S1;Wintershall;Boorgatstatus;Plugged back;Abandoned
P02-SE-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P02-SE-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P02-SE-02-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P03-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P03-02;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
P03-02-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P03-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P03-04;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
P03-04-S1;NAM;Boorgatstatus;Plugged back;Abandoned
P03-04-S2;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
P03-04-S3;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
P04-01;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P05-01;Total;Boorgatstatus;Plugged and abandoned;Abandoned
P05-02;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P05-03;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P05-04;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P05-05;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P05-06;Mobil;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
P05-06-S1;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P05-07;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
P06-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P06-03;Wintershall;Boorgatstatus;Producing;Producing/Injecting
P06-06;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P06-10;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P06-A-01-S2;Wintershall;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
P06-A-01-S3;Wintershall;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
P06-A-01-S5;Wintershall;Boorgatstatus;Producing;Producing/Injecting
P06-A-03-S2;Wintershall;Boorgatstatus;Producing;Producing/Injecting
P06-A-04;Wintershall;Boorgatstatus;Producing;Abandoned
P06-A-04-S1;Wintershall;Boorgatstatus;Suspended;Abandoned
P06-A-06;Wintershall;Boorgatstatus;Producing;Producing/Injecting
P06-D-01;Wintershall;Boorgatstatus;Producing;Producing/Injecting
P06-S-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P07-01;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
P08-01;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P08-02;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P08-03;Mobil;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
P08-03-S1;Mobil;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
P08-03-S2;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P08-04;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P08-05;Mobil;Boorgatstatus;Plugged and abandoned;Technisch mislukt en sidetracked
P08-05-S1;Mobil;Boorgatstatus;Plugged and abandoned;Abandoned
P08-05-S2;Mobil;Boorgatstatus;Plugged and abandoned;Suspended
P08-06;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
P08-07;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P08-08;DANA;Boorgatstatus;Plugged and abandoned;Abandoned
P09-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P09-01A;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P09-03;Chevron;Boorgatstatus;Closed-in;Suspended
P09-04;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P09-07;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
P09-09;Wintershall;Boorgatstatus;Producing;Technisch mislukt en sidetracked
P09-09-S1;Wintershall;Boorgatstatus;Plugged back;Suspended
P09-HORIZON-A-02;Chevron;Boorgatstatus;Producing;Producing/Injecting
P09-HORIZON-A-03-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
P09-HORIZON-A-04;Chevron;Boorgatstatus;Producing;Producing/Injecting
P09-HORIZON-A-05;Chevron;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
P09-HORIZON-A-05-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
P09-HORIZON-A-06;Chevron;Boorgatstatus;Producing;Producing/Injecting
P09-HORIZON-A-07;Chevron;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
P09-HORIZON-A-07-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
P10-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P10-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P10-03;Petro-Canada;Boorgatstatus;Plugged and abandoned;Abandoned
P10-04;Petro-Canada;Boorgatstatus;Plugged and abandoned;Abandoned
P11-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P11-02;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P11-03;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P11-04;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P11-05;Petro-Canada;Boorgatstatus;Producing;Producing/Injecting
P11-06;Petro-Canada;Huidige eigenaar;Petro-Canada;Dana Petroleum Netherlands B.V.
P11-07;DANA;Boorgatstatus;Plugged back;Suspended
P11-08;DANA;Boorgatstatus;-;Plugged back and sidetracked
P11-08-S1;DANA;Boorgatstatus;-;Producing/Injecting
P11-09;DANA;Huidige eigenaar;DANA;Dana Petroleum Netherlands B.V.
P11-A-01;Petro-Canada;Huidige eigenaar;Petro-Canada;Dana Petroleum Netherlands B.V.
P11-A-01;Petro-Canada;Boorgatstatus;Producing;Producing/Injecting
P11-A-02;Petro-Canada;Huidige eigenaar;Petro-Canada;Dana Petroleum Netherlands B.V.
P11-A-02;Petro-Canada;Boorgatstatus;Plugged and abandoned;Abandoned
P11-A-02A;Petro-Canada;Boorgatstatus;Producing;Producing/Injecting
P11-A-03;Petro-Canada;Huidige eigenaar;Petro-Canada;Dana Petroleum Netherlands B.V.
P11-A-03-S1;Petro-Canada;Huidige eigenaar;Petro-Canada;Dana Petroleum Netherlands B.V.
P11-A-03-S1;Petro-Canada;Boorgatstatus;Producing;Producing/Injecting
P11-A-03-S2;Petro-Canada;Huidige eigenaar;Petro-Canada;Dana Petroleum Netherlands B.V.
P11-A-03-S2;Petro-Canada;Boorgatstatus;Producing;Producing/Injecting
P11-C-01-S1;DANA;Boorgatstatus;Producing;Producing/Injecting
P11-C-01-S2;DANA;Boorgatstatus;Producing;Producing/Injecting
P11-C-01-S3;DANA;Boorgatstatus;Producing;Producing/Injecting
P12-01;Phillips Petroleum;Boorgatstatus;Plugged and abandoned;Abandoned
P12-03;Wintershall;Boorgatstatus;Closed-in;Abandoned
P12-04;Wintershall;Boorgatstatus;Plugged back and sidetracked;Abandoned
P12-04-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-07;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-08;Wintershall;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
P12-08-S1;Wintershall;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
P12-08-S2;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-11;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-12;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-A-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-C-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-C-02;Wintershall;Boorgatstatus;Plugged back and sidetracked;Abandoned
P12-C-02-S1;Wintershall;Boorgatstatus;Plugged back;Abandoned
P12-C-02-S2;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-C-03-S1;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P12-SW-05-S1;Wintershall;Boorgatstatus;Plugged back;Abandoned
P12-SW-05-S2;Wintershall;Boorgatstatus;Producing;Closed-in
P12-SW-10-S1;Wintershall;Boorgatstatus;Producing;Producing/Injecting
P13-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P13-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P14-A-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P15-01;Tenneco;Boorgatstatus;Plugged and abandoned;Abandoned
P15-02;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-05;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-06;TAQA;Boorgatstatus;Plugged back and sidetracked;Abandoned
P15-08;TAQA;Boorgatstatus;Plugged back and sidetracked;Abandoned
P15-08-S1;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-17;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-E-01-S1;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-E-02;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-F-01;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-F-02;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-G-01-S1;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-RIJN-A-01;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-RIJN-A-03;TAQA;Boorgatstatus;Water injecting;Producing/Injecting
P15-RIJN-A-04;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-RIJN-A-05;TAQA;Boorgatstatus;Water injecting;Producing/Injecting
P15-RIJN-A-06-S1;TAQA;Boorgatstatus;Water injecting;Producing/Injecting
P15-RIJN-A-07-S1;TAQA;Boorgatstatus;Water injecting;Closed-in
P15-RIJN-A-08;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-RIJN-A-10;TAQA;Boorgatstatus;Water injecting;Producing/Injecting
P15-RIJN-A-12;TAQA;Boorgatstatus;Water injecting;Producing/Injecting
P15-RIJN-A-13-S1;TAQA;Boorgatstatus;Technisch mislukt en sidetracked;Plugged back and sidetracked
P15-RIJN-A-13-S2;TAQA;Boorgatstatus;Plugged back and sidetracked;Abandoned
P15-RIJN-A-13-S3;TAQA;Boorgatstatus;Plugged back;Abandoned
P15-RIJN-B-01-S1;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-RIJN-B-02;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-RIJN-B-03-S1;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-RIJN-B-04;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-RIJN-B-05;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-RIJN-B-06;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-RIJN-B-07;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-RIJN-B-08;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-RIJN-B-09;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P15-RIJN-B-10-S1;TAQA;Boorgatstatus;Producing;Producing/Injecting
P15-RIJN-B-11;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P16-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P18-05;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
P18-08;Oranje-Nassau Energie;Einddatum;-;28-02-2017
P18-A-01;TAQA;Boorgatstatus;Producing;Producing/Injecting
P18-A-02;TAQA;Boorgatstatus;Producing;Producing/Injecting
P18-A-03-S2;TAQA;Boorgatstatus;Producing;Producing/Injecting
P18-A-04;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
P18-A-05;TAQA;Veld Code;P18-2;-
P18-A-05;TAQA;Boorgatstatus;Producing;Plugged back and sidetracked
P18-A-05;TAQA;UWI;8328;9267
P18-A-05;TAQA;NITG nummer;BP180678;BP180783
P18-A-05;TAQA;Einddatum;16-07-1997;07-05-1997
P18-A-05;TAQA;Mijnbouwwerk Naam;P18-A;-
P18-A-05;TAQA;Mijnbouwwerk Code;P18-A;-
P18-A-06-S1;TAQA;Boorgatstatus;Producing;Producing/Injecting
P18-A-07-S1;TAQA;Boorgatstatus;Producing;Producing/Injecting
PAU-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PAU-02;NAM;Boorgatstatus;Producing;Producing/Injecting
PB-1920-3;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-1920-4;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-1920-5;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-1920-6;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-A;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-D;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-E;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-H;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-J;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-K;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-L;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-M;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-N;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-O;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-P;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-Q;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-R;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-S;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-T;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-W;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PB-X;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PBN-01;Koninklijke Nederlandse Zoutindustrie;Boorgatstatus;Plugged and abandoned;Abandoned
PBR-01;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
PEI-01;Vermilion;Boorgatstatus;Plugged and abandoned;Abandoned
PKP-01;NAM;Huidige eigenaar;NAM;Vermilion Energy Netherlands B.V.
PKP-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PLD-GT-01;Aardwarmte Vogelaer;Mijnbouwwerk Naam;Poeldijk;Poeldijk Geothermie
PLD-GT-01;Aardwarmte Vogelaer;Mijnbouwwerk Code;PLD;PLD-GT
PLD-GT-02;Aardwarmte Vogelaer;Mijnbouwwerk Naam;Poeldijk;Poeldijk Geothermie
PLD-GT-02;Aardwarmte Vogelaer;Mijnbouwwerk Code;PLD;PLD-GT
PLG-01;Rijksopsporing van Delfstoffen;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-02;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-03;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-04;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-04-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-04-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-05;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-06;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-07;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-08;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-09;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-10;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-11;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-12;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
PNA-12-S1;NAM;Boorgatstatus;Plugged back;Abandoned
PNA-12-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-13;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-14;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-15;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PNA-GT-01;Ammerlaan Real Estate;Boorgatstatus;Producing;Producing/Injecting
PNA-GT-02;Ammerlaan Real Estate;Boorgatstatus;Injecting;Producing/Injecting
PNA-GT-03-S2;Gebr. Duijvestijn B.V.;Boorgatstatus;Producing;Producing/Injecting
PNA-GT-04;Gebr. Duijvestijn B.V.;Boorgatstatus;Injecting;Producing/Injecting
POS-01;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-02;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-03;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-04;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-05;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-07;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-08;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-09;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-10-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
POS-11;NAM;Boorgatstatus;Producing;Producing/Injecting
PRN-01;NAM;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
PRN-01-S1;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
PRW-01;NAM;Boorgatstatus;Water injecting;Producing/Injecting
PRW-02-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
PRW-03-S1;NAM;Boorgatstatus;Plugged back;Abandoned
PRW-03-S2;NAM;Boorgatstatus;Producing;Closed-in
PRW-04;NAM;Boorgatstatus;Producing;Producing/Injecting
PRW-05;NAM;Boorgatstatus;Producing;Producing/Injecting
PRW-OBS;-;Boorgatstatus;-;Observing
PSP-02-S1;NAM;Boorgatstatus;Plugged back;Abandoned
PSP-02-S2;NAM;Boorgatstatus;Producing;Closed-in
PTH-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-01;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-01-S1;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-02;Chevron;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
Q01-02-S1;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-03;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-04;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-05;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-06;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-09;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-11;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-12;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-13;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-15;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-16;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-16-S1;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-17;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-18;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-19;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-19A;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-22;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-24;Chevron;Boorgatstatus;Plugged back and sidetracked;Abandoned
Q01-24-S1;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-26-S2;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-28;Wintershall;Boorgatstatus;Producing;Producing/Injecting
Q01-HALFWEG-A-01;Chevron;Huidige eigenaar;Chevron;Petrogas E&P Netherlands B.V.
Q01-HALFWEG-A-01;Chevron;Boorgatstatus;Closed-in;Abandoned
Q01-HALFWEG-A-02;Chevron;Huidige eigenaar;Chevron;Petrogas E&P Netherlands B.V.
Q01-HALFWEG-A-02;Chevron;Boorgatstatus;Plugged back and sidetracked;Abandoned
Q01-HALFWEG-A-02-S1;Chevron;Huidige eigenaar;Chevron;Petrogas E&P Netherlands B.V.
Q01-HALFWEG-A-02-S1;Chevron;Boorgatstatus;Closed-in;Abandoned
Q01-HALFWEG-A-03;Chevron;Huidige eigenaar;Chevron;Petrogas E&P Netherlands B.V.
Q01-HALFWEG-A-03;Chevron;Boorgatstatus;Closed-in;Abandoned
Q01-HAVEN-A-01;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HAVEN-A-02;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-01;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-03-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-04-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-05-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-06-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-07-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-08-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-09-S1;Chevron;Boorgatstatus;Plugged back;Abandoned
Q01-HELDER-A-09-S2;Chevron;Boorgatstatus;Producing;Closed-in
Q01-HELDER-A-10-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-11-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-12-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-13;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-HELDER-A-14;Chevron;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
Q01-HELDER-A-14-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-15;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-16-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELDER-A-17-S1;Chevron;Boorgatstatus;Plugged back;Abandoned
Q01-HELDER-A-17-S2;Chevron;Boorgatstatus;Water injecting;Producing/Injecting
Q01-HELDER-B-01-S1;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q01-HELM-A-01;Chevron;Huidige eigenaar;Chevron;Petrogas E&P Netherlands
Q01-HELM-A-01;Chevron;Boorgatstatus;Closed-in;Abandoned
Q01-HELM-A-02-S1;Chevron;Boorgatstatus;Plugged back;Abandoned
Q01-HELM-A-02-S2;Chevron;Boorgatstatus;Plugged back;Abandoned
Q01-HELM-A-02-S3;Chevron;Startdatum;16-08-1988;18-08-1988
Q01-HELM-A-03;Chevron;Boorgatstatus;Plugged back and sidetracked;Abandoned
Q01-HELM-A-03-S1;Chevron;Boorgatstatus;Producing;Abandoned
Q01-HELM-A-04-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELM-A-05-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELM-A-06;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELM-A-07;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELM-A-08;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HELM-A-09-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HOORN-A-02;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HOORN-A-03-S1;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HOORN-A-04-S1;Chevron;Boorgatstatus;Plugged back;Abandoned
Q01-HOORN-A-04-S2;Chevron;Boorgatstatus;Plugged and abandoned;Suspended
Q01-HOORN-A-05;Chevron;Boorgatstatus;Producing;Producing/Injecting
Q01-HOORN-A-08;Chevron;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
Q01-HOORN-A-08-S1;Chevron;Boorgatstatus;Plugged back and sidetracked;Abandoned
Q01-HOORN-A-08-S2;Chevron;Boorgatstatus;Plugged back;Abandoned
Q01-HOORN-A-08-S3;Chevron;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
Q01-HOORN-A-08-S5;Chevron;Boorgatstatus;Producing;Closed-in
Q01-HOORN-A-09-S1;Chevron;Boorgatstatus;Plugged back;Abandoned
Q02-01;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
Q02-02;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
Q02-03;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
Q02-04;ENGIE E&P Nederland B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
Q02-05;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
Q04-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
Q04-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
Q04-03;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
Q04-04;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
Q04-05;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
Q04-06;Chevron;Boorgatstatus;Plugged and abandoned;Abandoned
Q04-07;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
Q04-09-S1;Wintershall;Boorgatstatus;Producing;Producing/Injecting
Q04-A-02;Wintershall;Boorgatstatus;Producing;Producing/Injecting
Q04-A-03;Wintershall;Boorgatstatus;Producing;Producing/Injecting
Q04-B-01;Wintershall;Boorgatstatus;Producing;Producing/Injecting
Q04-C-01;Wintershall;Boorgatstatus;Producing;Producing/Injecting
Q04-C-02;Wintershall;Boorgatstatus;Producing;Producing/Injecting
Q05-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
