ANV-04;NAM;Boorgatstatus;-;Abandoned
APN-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
APN-02;Vertec Treatment Sys.;Boorgatstatus;Plugged and abandoned;Abandoned
APS-01;NAM;Boorgatstatus;Closed-in;Suspended
APS-02;NAM;Boorgatstatus;Plugged and abandoned;Plugged back and sidetracked
ARV-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
ASN-01;NAM;Boorgatstatus;Closed-in;Producing/Injecting
AST-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AWG-01;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AWG-101;NAM;Boorgatstatus;Plugged and abandoned;Plugged back and sidetracked
AWG-101-S1;NAM;Boorgatstatus;Plugged back and sidetracked;Technisch mislukt en sidetracked
AWG-101-S3;NAM;Boorgatstatus;Plugged back and sidetracked;Abandoned
AWG-102;NAM;Boorgatstatus;Producing;Producing/Injecting
AWG-103-S2;NAM;Boorgatstatus;Plugged and abandoned;Abandoned
AWG-106;NAM;Boorgatstatus;Water injecting;Plugged back and sidetracked
AWG-106-S1;NAM;Boorgatstatus;Water injecting;Producing/Injecting
AWG-107;NAM;Boorgatstatus;Producing;Producing/Injecting
AWG-108;NAM;Boorgatstatus;Plugged and abandoned;Plugged back and sidetracked
AWG-108-S1;NAM;Boorgatstatus;Producing;Producing/Injecting
AWG-109;NAM;Boorgatstatus;Producing;Plugged back and sidetracked
AWG-109-S1;NAM;Boorgatstatus;Temporarily abandoned;Suspended
AWG-110;NAM;Boorgatstatus;Producing;Producing/Injecting
B10-02;Petrogas E&P Netherlands B.V.;Boorgatstatus;Technisch mislukt en sidetracked;Abandoned
B10-02-S1;TAQA;Boorgatstatus;Plugged and abandoned;Abandoned
B10-03;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged back and sidetracked;Abandoned
B10-03-S1;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
B13-01;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
B13-02;Wintershall;Boorgatstatus;Plugged and abandoned;Abandoned
B13-03;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
B13-04;Petrogas E&P Netherlands B.V.;Boorgatstatus;Plugged and abandoned;Abandoned
B13-A-01-S1;Chevron;Boorgatstatus;Borehole ready;Plugged back and sidetracked
